id,dest_type_id,name,category,land_req,pop_req,capacity,access_mode,dist_in_20_min,coverage,position
1001,1001,Multi_purpose_community_centre,sport_and_recreation,0.008,8000,12000,walking,0.8,0.8,ltc
1005,1005,Health Clinic,health_facilities_and_services,0.000115,1000,1500,walking,0.8,0.8,ltc
1008,1008,Childcare centre,learning,0.0025,9000,13500,walking,0.8,0.8,ltc
1009,1009,Government primary school,learning,0.035,9000,13500,walking,0.8,0.8,etc
1010,1010,Local Park,parkd_and_playgrounds,0.0085,1000,1500,walking,0.8,0.8,etc
1011,1011,District sports facility,sport_and_recreation,0.08,9000,13500,walking,0.8,0.8,etc
1012,1012,Corner Store/Convenience Store/Local shop,shopping_centres,0.000115,1000,1500,walking,0.8,0.8,nltc
1015,1015,Larger suppermarket,shopping_centres,0.003,10000,15000,walking,0.8,0.8,etc
2003,2003,Residential agedcare/retirement village/aged housing,aged_care,0.1,30000,45000,walking,0.8,0.7,ltc
2004,2004,Community health centre,health_facilities_and_services,0.006,30000,45000,walking,0.8,0.7,ltc
2006,2006,Maternal and Child Health Centre,health_facilities_and_services,0.001,16000,24000,walking,0.8,0.7,ltc
2007,2007,Occasional childcare centre ,health_facilities_and_services,0,16000,24000,walking,0.8,0.7,ltc
2008,2008,Non-governmentla Primary School,learning,0.026,18000,27000,walking,0.8,0.7,etc
2009,2009,Government Secondary School,learning,0.084,30000,45000,walking,0.8,0.7,etc
2010,2010,Community arts facility,learning,0,30000,45000,walking,0.8,0.7,etc
2011,2011,District Park,parkd_and_playgrounds,0.04,30000,45000,walking,0.8,0.7,etc
2012,2012,Lower order indoor recreational centre,sport_and_recreation,0.006,20000,30000,walking,0.8,0.7,etc
2013,2013,Lower order Tennis courts,sport_and_recreation,0.015,25000,37500,walking,0.8,0.7,etc
2014,2014,Regional supermarket,shopping_centres,0.0045,15000,22500,walking,0.8,0.7,nltc
