loc_id,x,y,TYPE,NB1,NB2,NB3,NB4
1,2,2,3,22,,,
3,2,1.6,2,22,,,
5,2,1.2,3,22,14,,
7,2,0.8,2,14,,,
9,2,0.4,3,14,13,,
11,2,0,2,13,,,
13,2,-0.4,3,13,21,,
15,2,-0.8,2,21,,,
17,2,-1.2,3,21,25,,
19,2,-1.6,2,25,,,
21,2,-2,3,25,,,
43,1.6,2,2,22,,,
45,1.6,1.6,1,22,,,
47,1.6,1.2,2,22,14,,
49,1.6,0.8,1,14,,,
51,1.6,0.4,2,14,13,,
53,1.6,0,1,13,,,
55,1.6,-0.4,2,13,21,,
57,1.6,-0.8,1,21,,,
59,1.6,-1.2,2,21,25,,
61,1.6,-1.6,1,25,,,
63,1.6,-2,2,25,,,
85,1.2,2,3,22,15,,
87,1.2,1.6,2,22,15,,
89,1.2,1.2,3,22,14,15,9
91,1.2,0.8,2,14,9,,
93,1.2,0.4,3,14,13,9,4
95,1.2,0,2,13,4,,
97,1.2,-0.4,3,13,21,4,8
99,1.2,-0.8,2,21,8,,
101,1.2,-1.2,3,21,25,8,20
103,1.2,-1.6,2,25,20,,
105,1.2,-2,3,25,20,,
127,0.8,2,2,15,,,
129,0.8,1.6,1,15,,,
131,0.8,1.2,2,15,9,,
133,0.8,0.8,1,9,,,
135,0.8,0.4,2,9,4,,
137,0.8,0,1,4,,,
139,0.8,-0.4,2,4,8,,
141,0.8,-0.8,1,8,,,
143,0.8,-1.2,2,8,20,,
145,0.8,-1.6,1,20,,,
147,0.8,-2,2,20,,,
169,0.4,2,3,15,10,,
171,0.4,1.6,2,15,10,,
173,0.4,1.2,3,15,9,10,5
175,0.4,0.8,2,9,5,,
177,0.4,0.4,3,9,4,5,1
179,0.4,0,2,4,1,,
181,0.4,-0.4,3,4,8,1,3
183,0.4,-0.8,2,8,3,,
185,0.4,-1.2,3,8,20,3,12
187,0.4,-1.6,2,20,12,,
189,0.4,-2,3,20,12,,
211,0,2,2,10,,,
213,0,1.6,1,10,,,
215,0,1.2,2,10,5,,
217,0,0.8,1,5,,,
219,0,0.4,2,5,1,,
221,0,0,1,1,,,
223,0,-0.4,2,1,3,,
225,0,-0.8,1,3,,,
227,0,-1.2,2,3,12,,
229,0,-1.6,1,12,,,
231,0,-2,2,12,,,
253,-0.4,2,3,10,16,,
255,-0.4,1.6,2,10,16,,
257,-0.4,1.2,3,10,5,16,6
259,-0.4,0.8,2,5,6,,
261,-0.4,0.4,3,5,1,6,2
263,-0.4,0,2,1,2,,
265,-0.4,-0.4,3,1,3,2,7
267,-0.4,-0.8,2,3,7,,
269,-0.4,-1.2,3,3,12,7,19
271,-0.4,-1.6,2,12,9,,
273,-0.4,-2,3,12,9,,
295,-0.8,2,2,16,,,
297,-0.8,1.6,1,16,,,
299,-0.8,1.2,2,16,6,,
301,-0.8,0.8,1,6,,,
303,-0.8,0.4,2,6,2,,
305,-0.8,0,1,2,,,
307,-0.8,-0.4,2,2,7,,
309,-0.8,-0.8,1,7,,,
311,-0.8,-1.2,2,7,19,,
313,-0.8,-1.6,1,19,,,
315,-0.8,-2,2,19,,,
337,-1.2,2,3,16,23,,
339,-1.2,1.6,2,16,23,,
341,-1.2,1.2,3,16,6,23,17
343,-1.2,0.8,2,6,17,,
345,-1.2,0.4,3,6,2,11,
347,-1.2,0,2,2,11,,
349,-1.2,-0.4,3,2,7,11,18
351,-1.2,-0.8,2,7,18,,
353,-1.2,-1.2,3,7,19,18,24
355,-1.2,-1.6,2,19,24,,
357,-1.2,-2,3,19,24,,
379,-1.6,2,2,23,,,
381,-1.6,1.6,1,23,,,
383,-1.6,1.2,2,23,17,,
385,-1.6,0.8,1,17,,,
387,-1.6,0.4,2,17,11,,
389,-1.6,0,1,11,,,
391,-1.6,-0.4,2,11,18,,
393,-1.6,-0.8,1,18,,,
395,-1.6,-1.2,2,18,24,,
397,-1.6,-1.6,1,24,,,
399,-1.6,-2,2,24,,,
421,-2,2,3,23,,,
423,-2,1.6,2,23,,,
425,-2,1.2,3,23,17,,
427,-2,0.8,2,17,,,
429,-2,0.4,3,17,11,,
431,-2,0,2,11,,,
433,-2,-0.4,3,11,18,,
435,-2,-0.8,2,18,,,
437,-2,-1.2,3,18,24,,
439,-2,-1.6,2,24,,,
441,-2,-2,3,24,,,
